grade,gpa,chronicly_absent,days_absent,act_taken,read_scale,writing_scale,math_scale,female,white,special_ed,plan_504,free_and_reduced,gifted
11,3.044,1,30.22,0,584,605,625,1,1,0,0,1,0
10,3.81,0,17.46,0,730,634,752,0,1,0,0,0,0
10,3.593,0,5.13,0,700,655,607,1,1,0,0,0,0
11,4,0,3.33,1,677,669,740,0,1,0,0,0,0
10,2.925,0,3.11,0,539,543,502,0,1,0,0,0,0
10,1.93,1,21.85,0,567,536,552,0,1,1,0,1,0
9,2.625,0,12.81,0,537,569,569,0,1,0,0,1,0
9,3.967,0,5.1,0,635,609,616,1,1,0,0,0,0
9,2.176,0,8.71,0,518,569,561,0,1,0,1,0,0
9,3.682,0,0.29,0,635,577,693,0,1,0,0,0,1
9,3.736,0,7.58,0,547,545,626,1,1,0,0,0,0
9,2.772,0,0.54,0,568,545,578,0,1,0,0,0,0
10,2.216,0,8.03,0,539,508,537,1,1,0,0,0,0
9,3.5,0,2.61,0,592,641,606,0,1,0,0,0,0
11,3.971,0,0.32,1,677,677,765,0,1,0,0,0,0
10,3.233,0,10.57,0,587,655,717,1,1,0,0,0,1
10,3.365,0,4.53,1,661,571,644,1,1,0,0,0,0
10,3.941,0,0.5,0,730,670,664,0,0,0,0,0,0
10,3.823,0,0,1,609,655,624,0,0,0,0,0,0
9,3.5,0,0.24,0,537,545,626,0,0,0,0,0,0
10,3.808,0,0.2,1,730,606,644,0,1,0,0,0,0
10,2.305,0,3.67,0,598,557,582,0,1,0,0,0,0
10,3.365,0,9.27,0,700,627,615,1,1,0,0,0,0
10,3.792,0,3.11,1,647,706,702,1,0,0,0,0,1
10,3.355,0,0,0,609,592,590,0,1,0,0,0,0
10,3.614,0,0,1,567,606,654,1,1,0,0,0,0
10,3.361,0,5.33,1,598,655,598,1,1,0,0,0,1
10,1.896,0,3.15,0,539,529,567,0,1,0,0,0,0
10,3.982,0,2.07,0,678,641,735,0,1,0,0,0,1
10,1.667,0,10.56,0,472,494,476,0,1,0,1,0,0
10,4,0,4.25,1,661,740,688,1,0,0,0,0,0
10,3.4,0,7.17,0,609,613,598,1,1,0,0,0,0
10,3.839,0,2.91,0,577,592,615,1,1,0,0,0,0
10,3.963,0,1.06,1,633,655,664,1,1,0,0,0,0
10,3.667,0,6.67,1,678,613,717,0,1,0,0,0,1
10,3.172,0,2.98,0,577,634,624,0,1,0,0,0,0
10,3.506,0,3.42,0,557,585,590,1,1,0,0,0,0
10,3.672,0,15.79,1,647,606,688,1,1,0,0,0,0
10,3.058,0,1.97,0,633,564,624,0,1,0,0,0,0
10,3.978,0,1.47,1,598,627,702,1,1,0,0,0,0
10,3.767,0,11.57,1,609,606,717,0,1,0,0,0,0
10,3.889,0,2.02,0,700,706,717,0,1,0,0,0,0
10,3.823,0,0.48,0,621,634,582,1,1,0,0,0,0
10,3.269,0,4.19,0,577,578,590,0,1,0,0,0,0
10,3.956,0,5.52,1,661,655,664,1,1,0,0,0,0
10,4,0,3.06,1,609,466,654,0,1,0,0,0,0
10,3.807,1,19.98,1,678,740,644,1,1,0,0,0,0
10,3.251,0,1.51,1,513,592,574,0,1,0,0,0,0
10,3.856,0,2.18,1,621,722,688,1,1,0,0,0,0
10,3.971,0,5.59,1,678,648,735,0,1,0,0,0,1
10,3.067,0,1.2,0,548,543,544,1,1,0,0,0,0
11,3.524,0,2.11,1,745,700,690,1,1,0,0,0,1
10,3.932,0,0.37,0,598,578,688,0,1,0,0,0,0
10,3.895,0,0.17,1,609,627,654,0,1,0,0,0,0
10,3.71,0,0.56,1,598,599,607,1,1,0,0,0,0
10,3.852,0,6.64,1,621,722,676,0,1,0,0,0,0
10,4,0,12.31,1,678,722,735,1,1,0,0,0,1
10,3.745,0,1.39,1,647,680,664,1,1,0,0,0,0
10,3.981,0,2.01,1,633,655,624,1,1,0,0,0,0
10,3.67,0,3.08,1,647,641,644,0,1,0,0,0,0
10,3.946,0,4.26,0,609,613,598,1,1,0,0,1,0
10,3.005,0,0.48,0,539,557,559,0,1,0,0,0,0
10,3.81,0,5.86,1,633,641,688,0,1,0,0,0,0
10,3.49,0,6.28,0,539,627,516,1,1,0,0,0,0
10,3.695,0,3.1,0,661,634,676,0,1,0,0,0,0
10,3.273,0,2.11,0,598,670,644,0,1,0,0,0,0
10,2.914,0,2.92,1,557,585,644,0,1,0,0,0,0
10,2.984,0,8.5,0,513,480,574,0,1,0,0,0,0
10,3.818,0,6.96,0,678,680,664,0,1,0,0,0,0
10,3.517,0,1.9,1,621,613,688,0,1,0,0,0,0
10,4,0,0,1,678,680,735,1,1,0,0,0,1
10,4,0,1.44,1,633,648,752,1,1,0,0,0,0
10,3.716,0,12.6,0,598,641,688,1,1,0,0,0,1
10,3.205,0,2.15,0,557,627,598,0,1,0,0,0,0
10,2.559,0,2.36,0,522,480,559,0,1,0,1,0,0
10,3.623,0,5.8,1,609,634,607,1,1,0,0,0,0
10,3.613,0,6.71,1,647,613,654,0,1,0,0,0,0
10,3.582,0,6.1,0,730,613,702,1,1,0,0,0,1
10,3.141,0,0.33,0,567,550,537,0,1,0,0,0,0
10,2.968,0,6.68,0,522,592,523,1,1,0,0,0,0
10,3.424,0,11.13,0,647,627,598,0,1,0,0,0,0
10,3.339,0,17.25,0,598,606,567,0,1,0,0,0,0
10,3.964,0,0.41,1,621,648,688,1,1,0,0,0,0
